Module	Section	Sample Name	Source
Cutadapt	all_sections	SRR34661433	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/trimming/logs/SRR34661433.cutadapt.txt
Cutadapt	all_sections	SRR34661434	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/trimming/logs/SRR34661434.cutadapt.txt
Cutadapt	all_sections	SRR34661435	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/trimming/logs/SRR34661435.cutadapt.txt
Cutadapt	all_sections	SRR34661436	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/trimming/logs/SRR34661436.cutadapt.txt
Cutadapt	all_sections	SRR34661437	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/trimming/logs/SRR34661437.cutadapt.txt
Cutadapt	all_sections	SRR34661438	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/trimming/logs/SRR34661438.cutadapt.txt
Cutadapt	all_sections	SRR34661439	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/trimming/logs/SRR34661439.cutadapt.txt
Cutadapt	all_sections	SRR34661440	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/trimming/logs/SRR34661440.cutadapt.txt
Cutadapt	all_sections	SRR34661441	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/trimming/logs/SRR34661441.cutadapt.txt
Cutadapt	all_sections	SRR34661442	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/trimming/logs/SRR34661442.cutadapt.txt
Cutadapt	all_sections	SRR34661443	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/trimming/logs/SRR34661443.cutadapt.txt
FastQC	all_sections	SRR34661416	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/qc/trimmed/SRR34661416.trimmed_fastqc.zip
FastQC	all_sections	SRR34661417	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/qc/trimmed/SRR34661417.trimmed_fastqc.zip
FastQC	all_sections	SRR34661418	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/qc/trimmed/SRR34661418.trimmed_fastqc.zip
FastQC	all_sections	SRR34661419	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/qc/trimmed/SRR34661419.trimmed_fastqc.zip
FastQC	all_sections	SRR34661420	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/qc/trimmed/SRR34661420.trimmed_fastqc.zip
FastQC	all_sections	SRR34661421	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/qc/trimmed/SRR34661421.trimmed_fastqc.zip
FastQC	all_sections	SRR34661422	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/qc/trimmed/SRR34661422.trimmed_fastqc.zip
FastQC	all_sections	SRR34661423	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/qc/trimmed/SRR34661423.trimmed_fastqc.zip
FastQC	all_sections	SRR34661424	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/qc/trimmed/SRR34661424.trimmed_fastqc.zip
FastQC	all_sections	SRR34661425	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/qc/trimmed/SRR34661425.trimmed_fastqc.zip
FastQC	all_sections	SRR34661426	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/qc/trimmed/SRR34661426.trimmed_fastqc.zip
FastQC	all_sections	SRR34661427	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/qc/trimmed/SRR34661427.trimmed_fastqc.zip
FastQC	all_sections	SRR34661428	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/qc/trimmed/SRR34661428.trimmed_fastqc.zip
FastQC	all_sections	SRR34661429	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/qc/trimmed/SRR34661429.trimmed_fastqc.zip
FastQC	all_sections	SRR34661430	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/qc/trimmed/SRR34661430.trimmed_fastqc.zip
FastQC	all_sections	SRR34661431	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/qc/trimmed/SRR34661431.trimmed_fastqc.zip
FastQC	all_sections	SRR34661432	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/qc/trimmed/SRR34661432.trimmed_fastqc.zip
FastQC	all_sections	SRR34661433	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/qc/trimmed/SRR34661433.trimmed_fastqc.zip
FastQC	all_sections	SRR34661434	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/qc/trimmed/SRR34661434.trimmed_fastqc.zip
FastQC	all_sections	SRR34661435	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/qc/trimmed/SRR34661435.trimmed_fastqc.zip
FastQC	all_sections	SRR34661436	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/qc/trimmed/SRR34661436.trimmed_fastqc.zip
FastQC	all_sections	SRR34661437	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/qc/trimmed/SRR34661437.trimmed_fastqc.zip
FastQC	all_sections	SRR34661438	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/qc/trimmed/SRR34661438.trimmed_fastqc.zip
FastQC	all_sections	SRR34661439	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/qc/trimmed/SRR34661439.trimmed_fastqc.zip
FastQC	all_sections	SRR34661440	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/qc/trimmed/SRR34661440.trimmed_fastqc.zip
FastQC	all_sections	SRR34661441	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/qc/trimmed/SRR34661441.trimmed_fastqc.zip
FastQC	all_sections	SRR34661442	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/qc/trimmed/SRR34661442.trimmed_fastqc.zip
FastQC	all_sections	SRR34661443	/home/paras/Documents/code/omics/rnaseq/mirna/GSE303374_sperm_mirna/results/qc/trimmed/SRR34661443.trimmed_fastqc.zip
