Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,treatment
SRR34661426,ncRNA-Seq,64,806017969,PRJNA1294960,SAMN50134132,358633374,Sperm,"GOLDING LAB, VETERINARY PHYSIOLOGY & PHARMACOLOGY, TEXAS A&M UNIVERSITY",missing,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX29799397,Nrf2 -/-,uncalculated,uncalculated,missing,Illumina HiSeq 1000,GSM9124377,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-01-01T00:00:00Z,2025-07-22T15:20:00Z,1,GSM9124377,Sperm,SRP602758,Nrf2 KO Ethanol (alcohol exposed)
SRR34661427,ncRNA-Seq,68,1000620825,PRJNA1294960,SAMN50134133,432508385,Sperm,"GOLDING LAB, VETERINARY PHYSIOLOGY & PHARMACOLOGY, TEXAS A&M UNIVERSITY",missing,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX29799396,Nrf2 -/-,uncalculated,uncalculated,missing,Illumina HiSeq 1000,GSM9124376,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-01-01T00:00:00Z,2025-07-22T15:22:00Z,1,GSM9124376,Sperm,SRP602758,Nrf2 KO Ethanol (alcohol exposed)
SRR34661428,ncRNA-Seq,66,1405151846,PRJNA1294960,SAMN50134134,601422402,Sperm,"GOLDING LAB, VETERINARY PHYSIOLOGY & PHARMACOLOGY, TEXAS A&M UNIVERSITY",missing,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX29799395,Nrf2 -/-,uncalculated,uncalculated,missing,Illumina HiSeq 1000,GSM9124375,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-01-01T00:00:00Z,2025-07-22T15:21:00Z,1,GSM9124375,Sperm,SRP602758,Nrf2 KO Control (no alcohol exposure)
SRR34661429,ncRNA-Seq,69,1024712389,PRJNA1294960,SAMN50134135,444890513,Sperm,"GOLDING LAB, VETERINARY PHYSIOLOGY & PHARMACOLOGY, TEXAS A&M UNIVERSITY",missing,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX29799394,Nrf2 -/-,uncalculated,uncalculated,missing,Illumina HiSeq 1000,GSM9124374,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-01-01T00:00:00Z,2025-07-22T15:22:00Z,1,GSM9124374,Sperm,SRP602758,Nrf2 KO Control (no alcohol exposure)
SRR34661430,ncRNA-Seq,64,1198959541,PRJNA1294960,SAMN50134136,528634067,Sperm,"GOLDING LAB, VETERINARY PHYSIOLOGY & PHARMACOLOGY, TEXAS A&M UNIVERSITY",missing,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX29799393,Nrf2 -/-,uncalculated,uncalculated,missing,Illumina HiSeq 1000,GSM9124373,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-01-01T00:00:00Z,2025-07-22T15:22:00Z,1,GSM9124373,Sperm,SRP602758,Nrf2 KO Control (no alcohol exposure)
SRR34661431,ncRNA-Seq,66,1118686663,PRJNA1294960,SAMN50134137,496029780,Sperm,"GOLDING LAB, VETERINARY PHYSIOLOGY & PHARMACOLOGY, TEXAS A&M UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX29799392,Nrf2 -/-,uncalculated,uncalculated,missing,Illumina HiSeq 1000,GSM9124372,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-01-01T00:00:00Z,2025-07-22T15:21:00Z,1,GSM9124372,Sperm,SRP602758,Nrf2 KO Control (no alcohol exposure)
SRR34661432,ncRNA-Seq,69,2017818661,PRJNA1294960,SAMN50134138,733188228,Sperm,"GOLDING LAB, VETERINARY PHYSIOLOGY & PHARMACOLOGY, TEXAS A&M UNIVERSITY",missing,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX29799391,WT,uncalculated,uncalculated,missing,Illumina HiSeq 1000,GSM9124371,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-01-01T00:00:00Z,2025-07-22T15:22:00Z,1,GSM9124371,Sperm,SRP602758,Medium (medium dose of alcohol)
SRR34661433,ncRNA-Seq,76,2693384436,PRJNA1294960,SAMN50134139,956635635,Sperm,"GOLDING LAB, VETERINARY PHYSIOLOGY & PHARMACOLOGY, TEXAS A&M UNIVERSITY",missing,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX29799390,WT,uncalculated,uncalculated,missing,Illumina HiSeq 1000,GSM9124370,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-01-01T00:00:00Z,2025-07-22T15:24:00Z,1,GSM9124370,Sperm,SRP602758,Medium (medium dose of alcohol)
SRR34661434,ncRNA-Seq,70,2037166845,PRJNA1294960,SAMN50134140,733596884,Sperm,"GOLDING LAB, VETERINARY PHYSIOLOGY & PHARMACOLOGY, TEXAS A&M UNIVERSITY",missing,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29799389,WT,uncalculated,uncalculated,missing,Illumina HiSeq 1000,GSM9124369,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-01-01T00:00:00Z,2025-07-22T15:21:00Z,1,GSM9124369,Sperm,SRP602758,High (high dose of alcohol)
SRR34661435,ncRNA-Seq,70,3262929921,PRJNA1294960,SAMN50134141,1164223341,Sperm,"GOLDING LAB, VETERINARY PHYSIOLOGY & PHARMACOLOGY, TEXAS A&M UNIVERSITY",missing,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX29799388,WT,uncalculated,uncalculated,missing,Illumina HiSeq 1000,GSM9124368,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-01-01T00:00:00Z,2025-07-22T15:27:00Z,1,GSM9124368,Sperm,SRP602758,High (high dose of alcohol)
SRR34661436,ncRNA-Seq,65,1851971347,PRJNA1294960,SAMN50134142,681935243,Sperm,"GOLDING LAB, VETERINARY PHYSIOLOGY & PHARMACOLOGY, TEXAS A&M UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX29799387,WT,uncalculated,uncalculated,missing,Illumina HiSeq 1000,GSM9124367,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-01-01T00:00:00Z,2025-07-22T15:23:00Z,1,GSM9124367,Sperm,SRP602758,Low (low dose of alcohol)
SRR34661437,ncRNA-Seq,69,2162167367,PRJNA1294960,SAMN50134143,778499013,Sperm,"GOLDING LAB, VETERINARY PHYSIOLOGY & PHARMACOLOGY, TEXAS A&M UNIVERSITY",missing,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX29799386,WT,uncalculated,uncalculated,missing,Illumina HiSeq 1000,GSM9124366,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-01-01T00:00:00Z,2025-07-22T15:25:00Z,1,GSM9124366,Sperm,SRP602758,Low (low dose of alcohol)
SRR34661438,ncRNA-Seq,71,2614807866,PRJNA1294960,SAMN50134144,937062892,Sperm,"GOLDING LAB, VETERINARY PHYSIOLOGY & PHARMACOLOGY, TEXAS A&M UNIVERSITY",missing,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX29799385,WT,uncalculated,uncalculated,missing,Illumina HiSeq 1000,GSM9124365,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-01-01T00:00:00Z,2025-07-22T15:24:00Z,1,GSM9124365,Sperm,SRP602758,Low (low dose of alcohol)
SRR34661439,ncRNA-Seq,70,2003427053,PRJNA1294960,SAMN50134145,723876680,Sperm,"GOLDING LAB, VETERINARY PHYSIOLOGY & PHARMACOLOGY, TEXAS A&M UNIVERSITY",missing,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX29799384,WT,uncalculated,uncalculated,missing,Illumina HiSeq 1000,GSM9124364,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-01-01T00:00:00Z,2025-07-22T15:23:00Z,1,GSM9124364,Sperm,SRP602758,Low (low dose of alcohol)
SRR34661440,ncRNA-Seq,67,2013460293,PRJNA1294960,SAMN50134146,730216396,Sperm,"GOLDING LAB, VETERINARY PHYSIOLOGY & PHARMACOLOGY, TEXAS A&M UNIVERSITY",missing,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX29799383,WT,uncalculated,uncalculated,missing,Illumina HiSeq 1000,GSM9124363,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-01-01T00:00:00Z,2025-07-22T15:23:00Z,1,GSM9124363,Sperm,SRP602758,Control (no alcohol exposure)
SRR34661441,ncRNA-Seq,80,1014232646,PRJNA1294960,SAMN50134147,361843093,Sperm,"GOLDING LAB, VETERINARY PHYSIOLOGY & PHARMACOLOGY, TEXAS A&M UNIVERSITY",missing,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX29799382,WT,uncalculated,uncalculated,missing,Illumina HiSeq 1000,GSM9124362,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-01-01T00:00:00Z,2025-07-22T15:21:00Z,1,GSM9124362,Sperm,SRP602758,Control (no alcohol exposure)
SRR34661442,ncRNA-Seq,69,2355593099,PRJNA1294960,SAMN50134148,851047478,Sperm,"GOLDING LAB, VETERINARY PHYSIOLOGY & PHARMACOLOGY, TEXAS A&M UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX29799381,WT,uncalculated,uncalculated,missing,Illumina HiSeq 1000,GSM9124361,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-01-01T00:00:00Z,2025-07-22T15:22:00Z,1,GSM9124361,Sperm,SRP602758,Control (no alcohol exposure)
SRR34661443,ncRNA-Seq,64,1771042596,PRJNA1294960,SAMN50134149,649708821,Sperm,"GOLDING LAB, VETERINARY PHYSIOLOGY & PHARMACOLOGY, TEXAS A&M UNIVERSITY",missing,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29799380,WT,uncalculated,uncalculated,missing,Illumina HiSeq 1000,GSM9124360,SINGLE,size fractionation,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2026-01-01T00:00:00Z,2025-07-22T15:24:00Z,1,GSM9124360,Sperm,SRP602758,Control (no alcohol exposure)
